Date,SCHW_BK,PLD_AMT,TM_KMX,KO_PEP,COST_DG,PRU_LNC,ALL_GL
2018-08-30,0.9999214174413648,0.9999974317039471,0.9999909120046191,0.9999971100283724,0.9999812321563186,0.9999994300343847,0.9767578824881961
2018-08-31,0.9999134324317102,0.9999973517068208,0.9999903168477862,0.9999968011067045,0.9999803418217676,0.9999979841870608,0.7768065238740762
2018-09-04,0.9999123017700258,0.9999973745669098,0.9999872478305414,0.999994562617079,0.9999785534717973,0.999995392637784,0.3207222252614331
2018-09-05,0.9999106193901773,0.9999977930744332,0.9999875116334263,0.9999974986689628,0.9999711674254561,0.9999902892448896,0.06128935201729038
2018-09-06,0.9998943535395963,0.9999974123353979,0.9999895990508529,0.99999746052667,0.99994986710749,0.9999848040560656,0.006667760470694087
2018-09-07,0.9999044146708861,0.9999973446582555,0.9999877499399183,0.9999973237863172,0.9999734604818743,0.9999656685977079,0.0024585527647013037
2018-09-10,0.9999261613461358,0.9999973160301673,0.99998729328287,0.9999971568981381,0.9999708779889737,0.9999634827337315,0.005683253894807326
2018-09-11,0.9999257865893029,0.9999972292373246,0.9999881110395173,0.9999969738046589,0.9999717958392694,0.9999706317850444,0.022930402798940597
2018-09-12,0.9999323664077228,0.9999971656383573,0.9999888696676013,0.9999968547958255,0.9999695012369368,0.9999586614535384,0.09639895911860588
2018-09-13,0.9999289404623599,0.9999972520492078,0.9999935838574237,0.9999973617412493,0.9999662859271555,0.9999880390193098,0.3049122964330025
2018-09-14,0.9999293983677822,0.999997382956067,0.9999917730921959,0.9999970290108218,0.999980853297112,0.999987702823214,0.642728301665408
2018-09-17,0.9999344091495375,0.9999971747332785,0.9999930421769154,0.9999970691739893,0.9999705694028179,0.999989836382874,0.9005182093250925
2018-09-18,0.9999337008017433,0.9999972456727579,0.9999952120657352,0.9999971414731519,0.999972756348184,0.9999943824562694,0.9821770800144733
2018-09-19,0.9999478023945916,0.9999971660603616,0.999993176211864,0.9999972209463939,0.9999712606568932,0.9999964265580458,0.9980126241201012
2018-09-20,0.9999350053680567,0.9999973980390877,0.99999317929503,0.999997280991069,0.9999706160476104,0.9999974020099313,0.9998516384275337
2018-09-21,0.9998747192269437,0.9999971078546863,0.9999933011428496,0.9999973186713328,0.999975411145346,0.9999980953743891,0.999975415423504
2018-09-24,0.9998428010610207,0.9999966521346885,0.9999945400380865,0.9999973571464942,0.9999727229597247,0.9999987944618615,0.9999844292808923
2018-09-25,0.9997368006210492,0.9999965986283863,0.9999936402202693,0.9999973295161185,0.999977697474109,0.9999991620719684,0.9999869408472996
2018-09-26,0.9996646450754026,0.999996799559659,0.9999940697046751,0.9999969890441062,0.9999765574958688,0.9999993043386585,0.9999887483769263
2018-09-27,0.999548221669993,0.9999968873383536,0.9999941071556265,0.9999969695518746,0.9999752478477821,0.9999993004642138,0.9999900801832136
2018-09-28,0.9996541631659711,0.9999970140942437,0.9999924920402824,0.9999972023691069,0.999973836464352,0.9999992058477316,0.9999909199371598
2018-10-01,0.9997138604670027,0.9999969720811717,0.9999930057482688,0.9999969808750494,0.9999739867889904,0.9999993092099088,0.9999916954892925
2018-10-02,0.9997786591752449,0.9999972656688536,0.9999920426478733,0.9999960475675727,0.9999810960329917,0.9999992589294396,0.9999922716823088
2018-10-03,0.9998512693075597,0.999996782173814,0.9999924173367702,0.9999960936714969,0.9999720492173789,0.9999995162180573,0.9999923932189729
2018-10-04,0.9998950737726475,0.9999969890331922,0.9999933528509163,0.9999960561240651,0.9999683645493934,0.9999994194333206,0.9999914082078091
2018-10-05,0.9999178015302072,0.9999968689438806,0.9999934523780838,0.9999962425352003,0.9999931946162733,0.9999995064137092,0.9999864862806114
2018-10-08,0.9999150253732656,0.9999970279458067,0.9999928920240342,0.9999963493604143,0.9999800419418388,0.9999994521241797,0.9999879664534171
2018-10-09,0.9999462927424344,0.9999967342899827,0.9999930720717988,0.9999961841167578,0.9999755207476825,0.9999994739847826,0.9999884241057485
2018-10-10,0.9999631187891367,0.9999965923710841,0.9999934984618797,0.9999959239386351,0.9999723579786095,0.999999482901464,0.9999906118468556
2018-10-11,0.999958120504961,0.999996261268902,0.9999926770719694,0.9999962522576622,0.9999609102742875,0.9999994309729827,0.9999890908670082
2018-10-12,0.9999567857400355,0.9999958847204747,0.9999911198277484,0.9999961890607522,0.9998790771199911,0.9999995013605592,0.9999892379561734
2018-10-15,0.9999572913646246,0.9999958487264612,0.9999862388996071,0.9999961088272575,0.9995987746918503,0.9999994394494686,0.9999883467486657
2018-10-16,0.999952101357243,0.9999950744352989,0.9999885987212682,0.9999961099914062,0.9983941152478498,0.9999995667677496,0.9999903887681143
2018-10-17,0.9999522412781293,0.9999957151640897,0.9999895480305511,0.9999958745223527,0.9954540399512648,0.9999994573082966,0.9999907184822949
2018-10-18,0.9999554550039548,0.9999952623541862,0.9999888838519229,0.999995720716531,0.991615662870924,0.9999994134452109,0.9999919405706434
2018-10-19,0.9999540986812763,0.9999947096097337,0.9999861124579447,0.9999952999134116,0.9887437024714654,0.9999994836436114,0.9999915472647258
2018-10-22,0.9999578571518255,0.9999950665527472,0.999988350961396,0.99999550102905,0.9881193112867562,0.9999993826606528,0.9999913731962025
2018-10-23,0.9999573493551697,0.9999951250275128,0.9999877451705865,0.9999955698811296,0.9897167597636983,0.9999993893872715,0.9999912341102062
2018-10-24,0.9999397967373016,0.9999958128979763,0.9999869973880294,0.9999947576680902,0.992946917422958,0.9999993268831978,0.9999911972068734
2018-10-25,0.9999102818923671,0.9999951252994503,0.9999871586266236,0.9999934296372275,0.9962596000499951,0.999999398322142,0.9999909918229709
2018-10-26,0.999877613720978,0.9999951880670137,0.9999884888755755,0.9999911913643309,0.9987238967573108,0.9999992558699018,0.999990684693062
2018-10-29,0.9998436233808536,0.9999948143184008,0.9999854404364112,0.9999894869768118,0.9997271175097331,0.9999991640000956,0.9999759922183055
2018-10-30,0.9997678795856386,0.9999976200543769,0.9999885561628592,0.9999948061548187,0.9999321185071793,0.9999992287669802,0.9993830777596813
2018-10-31,0.9997194759438907,0.9999980726015949,0.9999900319131717,0.9999907547380559,0.9999709335392938,0.999999412506613,0.9756986397584376
2018-11-01,0.9997654604977697,0.9999982320821057,0.9999897736283794,0.9999904869071112,0.9999766598298189,0.9999992963969564,0.005023504911441992
